Company Name,Membership No,Membership Type,Establishment,Logo URL,Short Profile,Address,Area,Postcode,Phone,Email,Company Website,Legal Structure,Valid Till,Services
IN-Technology Ltd.,21-09-023,Associate,November 2018,https://basis.org.bd/images/logo/615d8831949f5INtech-logo.png,"IN-Technology Ltd. is the fastest growing software company of the 21st century with the best technology to grow up your business since 2018. Our aim is to provide high quality and cost-effective products, to all kinds of customers like Corporate, Public Services, Banks, Startups, Stores, etc. We have young, energetic, and skilled professionals. We are specialized in Software Development, Website Development, Mobile App Development, Networking and routing, Hardware Devices setup.","House: 9/4, Avenue: 5, Block: B, Section: 06, Mirpur, Dhaka-1216",Mirpur,1216,01404023385,illeas@in-technology.net,http://www.in-technology.net,Limited Company,,"Mobile Application, Web Design & Development, Software Development, Network Setup, Hardware Device, Surveillance and Attendance Device, Graphics Design & Elements, Digital Marketing, Automation Solution for factory, office house, institute, Firms Etc., Payment Gateway, Graphics Stock Elements"
UFO Interactive Ltd.,21-11-002,Associate,February 2020,https://basis.org.bd/images/logo/45480da9db51e42e4a5f5bb199ae959d14062022061103.png,"In the face of immense changes to the business of branding and marketing, UFO Interactive is an agent of change. For our clients and our people, UFO Interactive breaks through the domination of status to drive growth and innovation.  The UFO Interactive team includes leaders in digital strategy & content, software production, emerging media, brand strategy and architecture, strategic planning, marketing consultancy, public relations, and design thinking and change management.","House: 111, Road: 13, Block: E, Banani, Dhaka.",Banani,1213,01713148098,partho@ufo.com.bd,http://www.ufo.com.bd,Limited Company,,Digital Marketing
Econ Consulting,21-12-015,Associate,November 2016,https://basis.org.bd/images/logo/28c5ec0be3bd16ec59c758c48c31cdbd10012022011920.jpg,"Econ Consulting is a global BPO company providing cost-effective solutions to advertising, technology, logistics, & digital marketing agencies. We have helped many UK-based brands to establish identities online & Coding Wallet Ltd. is our top partner.","Registered Office: 3rd Floor, 1 No Atish Dipankar Road, Sabujbagh, Dhaka-1214 & corporate Office: Suite # D2, Fourth Floor, House # 5/1, Asadullah House, Block-E, Lalmatia, Dhaka-1207.",Motijheel,1214,01716864542,monirais13@gmail.com,www.econsourcing.com,Proprietorship,,Digital Marketing
Golpo Communications Limited,22-02-048,Associate,November 2019,https://basis.org.bd/images/logo/6dbbf805abf515d7a59f15dfb92b4a5503032022033852.png,"Golpo Communications is an eminent agency for Digital Communications, Television and Film Production, Software and Technology, and Creative Works, situated in Niketon, Dhaka. The main focus of this company is to serve high quality and unique presentation of social media content creation, easy technology solutions, audio-visual programs. Golpo Communications prides itself on producing timely, well relevant programs that also achieve remarkable success. Our aim is to explore constantly by changing now and connecting everything to make magic for delivering perfectly. It founded with the objective of providing fully integrated communications, advertising, and media services to different local and multinational brands and organizations that need to connect to the prospective product and service taker in the nation.","House# 48, Block# D, Road# 8, Niketan Housing Society",Gulshan,1212,01312425457,razen.jazzy@gmail.com,http://www.golpocom.com,Limited Company,,Digital Marketing
Hawk Eye Digital Limited,22-05-008,Associate,October 2021,https://basis.org.bd/images/logo/039826aa7e68dd998893bbace2028a3913062022065952.png,"We are a visionary in conversion-led digital marketing, catering to the needs of the modern era. Our quest is to simply make the most of digital, so your brand can grow smartly. As a new-age digital marketing agency, we provide Data-centric, ROI-based digital and creative solutions. Curating personalized content for a unique customer experience requires a deep understanding of the brand’s essence - which is one of our core strengths. We rely on rigorous research and intelligent data to develop optimized strategies and engaging creatives. Our agile approach matches that of the fast-paced era of advanced technologies. We dedicate our strengths towards achieving brand purpose and enabling businesses to grow in a smart way.",Ahmad and Kazi Tower 35 Dhanmandi Road 2,Dhanmondi,1205,+880 1713-191346,ryan@hawkeye-digital.com,http://www.hawkeye-digital.com,Limited Company,,Digital Marketing
Finva Soft Limited,22-05-017,Associate,January 2022,https://basis.org.bd/images/logo/3575b8742c9257737bde30319e5abd9f03092023092557.jpg,"Finvasoft Limited is an award-winning software company in health tech solutions in Bangladesh. We're an ""Associate Member"" of BASIS, and we are committed to delivering innovative and high-quality software solutions to our clients. At Finva Soft Limited, we offer a wide range of services, including Customized Software Development, Web Development, Mobile App Development, Cloud computing, E-commerce Solution, SQA and Digital Marketing. In addition to our custom software development services, we also offer a range of ready-to-use products such as Diagnostic/Lab Management Software, Sales & Inventory Management Software, Multivendor E-commerce System, Enterprise resource planning (ERP) Software & Real-time Garment Production Tracking System. For more information about our services and products, please contact us at +880 1321-227280 Or Email: contact@finvasoft.com","House 196, Road 2, Ave 3, Mirpur DOHS, Dhaka 1216, Bangladesh.",Mirpur,1216,01321227280,finvasoft@gmail.com,https://www.finvasoft.com,Limited Company,,"E-commerce Solution, Mobile App Development, Digital Marketing, Software Development, Web Development"
Xeon Technology Limited,22-07-023,Associate,October 2020,https://basis.org.bd/images/logo/c237fdc661a88b6631f21ae47858c98d05072022074457.png,"Xeon Technology is a premier technical solution company to empower your business with modern-day tech solutions for seamless business operations. Our solution comprises Data Analytics, Web Applications, Mobile applications (Android/iOS), and IoT. We are a specialized team consisting of highly skilled developers, designers, business leaders, and solution architects determined to elevate every business to its true potential. Run by a team of young entrepreneurs, our dedicated development center in Dhaka, Bangladesh provides project-ready astute tech experts that work in full compliance with your business needs and intents.","Begum Rokeyasharani, Holding-129, Word No-14, Mirpur 10, Dhaka-1216.",,1216,+8801714888656,contact@xeon.email,https://www.xeontechnology.ltd/,Limited Company,,Digital Marketing
Anirban Soft,22-09-003,Associate,July 2012,https://basis.org.bd/images/logo/f6b945b30ebaba99b4e1e156ab6e626f04102022100123.jpg,"Anirban Soft is the most creative software company in Bangladesh. We are one of the best software company for custom mobile, web and desktop software development.","1/2 Asad Avenue, Asad Gate Road, Mohammadpur, Dhaka-1207",Mohammadpur,1207,01400677102,info@anirbansoft.com,https://www.anirbansoft.com/,Proprietorship,,"Digital Marketing, App Development, Software Development, Web Development, Domain Registration, Hosting Server, IT Support"
Outsourcing Institute,22-09-005,Associate,September 2020,https://basis.org.bd/images/logo/e83afae70e2598574ab26d5fce95f2d005102022101937.png,"Outsourcing institute is an E-Learning Platform. We provide Freelancing and IT training through online. We provide training on Digital Marketing, Wordpress, Shopify, E-commerce site creation, Facebook Campaign, Youtube Marketing, SEO etc. We have a Youtube Channel and a Facebook Page. We upload Video class everyday in our Channel and page. Already we uploaded 2100 Videos tutorial class. Our Youtube channel has more than 5 Lacs subscriber and facebook page has more than 10 Lacs Follower. About 15 Lacs people regularly watch our video classes and receive high quality IT training Totally Free. After learning they work in different international freelancing marketplace and with direct buyers. They earn huge Foreign Currency every month. By this way we try to help the unemployed people to build a permanent career. Moreover by our work we help our country economy by increasing foreign reserve. Organization Name: Outsourcing institute. (Also known as Outsourcing institute by Jamal sir) Company Status: Active Company Category: Software and IT enabled service, E-learning Platform Founder and Chief Trainer: Md. Jamal Uddin Office Address: House No. 166, Road No. 10, Hill View, Panchlish, Chittagong Phone No. 01677313290 Email: spark774433@gmail.com Website Link: https://outsourcinghelp.net/ Facebook Page Link: https://www.facebook.com/OutsourcingHelp Youtube Channel Link: https://www.youtube.com/user/OutsourcingHelpBd","House No. 166, Road No. 10, Hill View, Panchlish, Chittagong",Chattogram,4209,01677313290,spark774433@gmail.com,https://outsourcinghelp.net,Proprietorship,,Digital Marketing
Maple BPO,22-09-012,Associate,October 2018,https://basis.org.bd/images/logo/4bf96231b26f9dad5954e00b0b6164b206102022104634.png,"Maple BPO is a registered firm incorporated under Bangladesh's Registrar of Joint Stock Companies (RJSC). We have partnered with many foreign business entities.  In 2018, we started our journey with a mission of helping businesses grow. Since then, it has come a long way in contributing to Business Process Outsourcing (BPO) & IT Enabled Services (ITES). Our global footprint covers more than 14 countries including USA, UK, and CANADA.  Maple BPO adopts a customer & business-driven methodology that boosts productivity and commitment for customers and fellow employees. The company employs more than 250 highly motivated individuals inspired by experienced senior management.","H 409, R 10, Padma R/A, Rajshahi",Rajshahi,6207,01713777716,contact@maplebpo.com,maplebpo.com,Partnership,,"Web Development, Cloud Bookkeeping & Accountancy, Digital Marketing, Ecommerce Management, Customer Support"
M/s. MINDS AT WORK GLOBAL,22-10-034,Associate,August 2017,https://basis.org.bd/images/logo/a1be1de97f5c25a3d4641cfb8df9b04c18102022101230.jpg,"MAWbiz is a local business search engine and digital marketing platform in Bangladesh that offers tools needed for sustainable branding. It is a multi-ethnic platform that enables businesses to interact proactively with the community, environment and other companies to make sustainable and responsible long-term growth.  The project began in 2017 and has attained a significant increase in traffic and web ranking. The motto of MAWbiz.com.bd is to give all businesses a digital space on a multi-ethnic web platform. It is a platform for all digital ads, deals, festive sales, coupons, flyers, and video ads. Our core goal is to empower brick and mortar businesses, providing them with an efficient marketing framework appropriate for businesses of the 21st century.   Our platform enables companies to reach out to new niche markets and create community awareness. We provide a range of different services to improve the online visibility of any business and brand so that the people in the community have easy access to the products or services they want to purchase or obtain. In addition, we are driven by the passion for digitizing all marketing concerns of businesses, preventing waste and abuse of paper, and actively advocating for an eco-friendly world. Empowering the Community.  We strongly believe in community empowerment through education and operate a section titled ‘e-Learning Marketplace’. Our ‘Community engagement’ section provides a whole range of features that offer productive recreation and are designed to keep the community well informed about social events and other useful updates.  Besides, we present the first Bangladeshi ethical job portal—'MAWbiz JobHub’. We aim to provide the job seekers adequate information about the average market wage, job benefits and other employee rights along with the advertised jobs. We aim to offer an ethical job search platform that does not promote the exploitation of labor.","428/1,Garden Veiw Road, South Paikpara",Mirpur,1216,01913373155,support@mawbiz.com.bd,https://www.mawbiz.com.bd,Partnership,,Digital Marketing
SRK Studios,23-03-005,Associate,September 2022,N/A,,"Century Arcade (4th Floor) ,120 Shahid Sangbadik Selina Parvin Rd, Dhaka 1205",Rampura,1205,+880 1789-233438,srkgroupltd686@gmail.com,https://srkstudios.com/,Proprietorship,,Digital Marketing
Wolast Technologies,23-08-031,Associate,June 2018,https://basis.org.bd/images/logo/07ad48dde3b573d8067273e01e085fe323082023081441.png,"Wolast Technologies is a technology company that offers a wide range of services, including datacenter,  cloud, and colocation services, software development, social media marketing, bulk SMS, graphics design, website development, and app development. Our company was founded with the goal of providing businesses with the technology solutions they need to succeed in today's digital world.","2nd floor(D2), 1/2 Asad Avenue Mohammadpur Dhaka 1207",Mohammadpur,1207,01735772014,rfsabirmh@gmail.com,http://www.wolast.com,Proprietorship,,"Datacenter, Colocation, Domain Hosting, Digital Marketing, Software Development, Mobile App Development, Website Design & Development, Hosted PBX Solutions, Bulk SMS Services"
Gloria Tech Limited,23-12-023,Associate,June 2023,https://basis.org.bd/images/logo/b9f5dc1727c52d6b9387e78da29d9ced11012024010427.png,"Software Development, Network Solutions, Hardware Supply, Digital Marketing, Outsourcing","House 361, Road 23, Block G, Bashundhara R/A, Dhaka",Bashundhara,1229,01714069924,ttamim97@gmail.com,http://www.gloriatech.xyz,Limited Company,,Digital Marketing
JA Station,23-12-046,Associate,January 2019,https://basis.org.bd/images/logo/3c07304d3beeed98c34c530465a7006f20122023121801.jpg,IT,"Islamabad Road, Gouripur",Mymensingh,2270,01711586469,me@joynal.info,http://www.jastation.com,Proprietorship,,Digital Marketing
ARHAM Techpro Ltd,23-12-054,Associate,July 2023,https://basis.org.bd/images/logo/c5532f51a5b8b48d6e959ebfcad3fac702012024014116.jpg,"Arham Techpro - Global UI/UX, Branding Design and Digital Marketing Agency, We specialize in UI/UX, Branding Design, Web Development, SaaS, Digital Marketing & SEO Services.","Shiachar, Kutubpur, Fatullah",Narayanganj,1420,01719145497,hello@arhamtechpro.com,https://arhamtechpro.com/,Limited Company,,"UI UX Design Service, Branding, Web Design And Development, Mobile App Design, SaaS Design, Digital Marketing, Search Engine Optimization"
DigiFea,24-03-637,Associate,December 2021,https://basis.org.bd/images/logo/63dcc81d9416d26823ca1126fb8b505211032024034415.png,"DigiFea is a global outsourcing firm that provides a wide array of affordable outsourcing services worldwide. We were founded in 2011 with the aim to provide cost-effective back-end services and outsourcing solutions to any businesses.  We offer solutions that help your business accelerate growth, simplify and personalise Customer Experience, and build priceless loyalty and trust.  At Our company, we’re dedicated to providing outstanding customer service that goes above and beyond our clients’ expectations. We work hard to achieve a high level of quality in every one of our projects.","622, Begum Rokeya Ave, Dhaka 1216.",Mirpur,1216,01966 100 888,info@digifea.com,https://www.digifea.com,Proprietorship,,"Graphic Design, Digital Marketing, BPO Solutions, Virtual Assistant, Web Development, Back Office Support"
FOXPRO LTD,24-03-639,Associate,January 2023,https://basis.org.bd/images/logo/ef35cef78e144f835daa315ef071a00111032024032000.jpg,The first ever one stop Digital Agency of Bangladesh with the largest portfolio of brands.,"120/2, (3rd floor) Moneshore Road, Zigatola",Dhanmondi,1209,01776547474,info@foxproltd.com,https://www.foxproltd.com,Limited Company,,Digital Marketing
Siara Solutions,24-06-021,Associate,December 2022,https://basis.org.bd/images/logo/591bb9eb2eb6748f6737630c30325ed413062024062028.png,"At Siara Solutions, we pride ourselves on delivering innovative and high-quality  software solutions tailored to meet the unique needs of our clients. With a team  of experienced professionals and a proven track record of success, we are committed to excellence in every project we undertake. Our diverse portfolio shows  our expertise in developing custom software solutions across various industries.  We are dedicated to delivering value-driven outcomes that exceed client expectations. While the Siara Solution Team is engaged in many ongoing projects,  below are examples of some completed ones.  FEATURED PROJECTS  1 . PROJECT NAME: TASHUS 2. PROJECT NAME: TUTEAIR 3. PROJECT NAME: BRUSH AND VISION 4. PROJECT NAME: KTHOMPSON ROOFING 5. PROJECT NAME: WEB PRESENCE FOR SCHOOL PICKUP 6. PROJECT NAME: TASHUS CAR SALE  Why Choose Siara Solutions? Expertise: Our team comprises experienced professionals with a proven  track record of delivering successful software projects.  Innovation: We leverage cutting-edge technologies and best practices  to develop innovative and customized solutions tailored to your specific  requirements.  Collaboration: We prioritize open communication and collaboration following agile methodologies, ensuring transparency, flexibility, and alignment with your business objectives.  Custom Solutions: We understand that every business is unique, and we  tailor our solutions to meet specific client requirements.  Quality Assurance: We adhere to industry best practices and rigorous  quality assurance processes to ensure the delivery of robust and reliable  software solutions.  Client Satisfaction: Our commitment to client satisfaction drives us to  exceed expectations and deliver value-added outcomes.   Thank you for considering Siara Solutions as your trusted  software development partner. We look forward to the opportunity  to collaborate with you and turn your vision into reality.  For inquiries or to discuss your project requirements, please contact us at info@siarasolution.com","79/2, Jobbar Square, Mudok Bari Mur, Brahmanbaria-3400",Brahmanbaria,3400,01740827756,info@siarasolution.com,http://www.siarasolution.com,Proprietorship,,Digital Marketing
Meraki Innovations Limited,24-06-041,Associate,May 2023,N/A,,"53 Box Nagar, Grameen Telecom Bhaban (9th floor), Zoo Road, Mirpur-2,, Mirpur, Dhaka, PO : 1216",Mirpur,1216,01924800892,info@meraki-innov.com,http://www.merakiinnov.com,Limited Company,,Digital Marketing
Helper Platform Limited,24-10-030,Associate,September 2016,https://basis.org.bd/images/logo/891a0cb7ede61478104a8d579056661616102024103632.jpg,"Company Profile: Helper Platform Limited Name of Company: Helper Platform Limited Established: 26-Sep-2022 Type of Organization: IT Enabled Service, IT Business Owners & Investors: Md. Wazed Ali & Farjana Akter Bank: IFIC Bank Nature of Business: IT Solution and Development, Digital Marketing Services Office Address: Head Office: House#07, BS Haven (2nd floor), Road#01, Block#A, Bosila City Developers, Mohammadpur, Dhaka-12030 Corporate Office: Akhi Tower (3rd Floor), House #1/3, Road#02, Block# C, Bochila City Developers, Mohammadpur, Dhaka-1207 Contact Information: Phone: 09647105511 Email: support@helper.com.bd Website: www.helper.com.bd WHO WE ARE Helper Platform Limited is a full-service digital marketing and IT solutions company based in Dhaka, Bangladesh. Since 2016, we have supported over 1,000 brands, helping them reach their target audience through tailored digital strategies, website and software development, and marketing services.","House:7, BS Heavan, Level-1, Road 1, Block A, Bosila City Developers",Mohammadpur,1207,01710551154,support@helper.com.bd,https://helper.com.bd,Limited Company,,Digital Marketing
Business Solution,24-10-050,Associate,July 2024,https://basis.org.bd/images/logo/815738b4b9fe0c874eadbde8d955cf6217102024101622.jpg,"Business Solution >> Your trusted partner in digital transformation.  At Business Solution, we are a dedicated team of professionals, each deeply committed to your success. Our expertise spans cutting-edge software development, web development & digital marketing ensuring that your business is equipped with the most effective and innovative solutions available.  Comprehensive Software Solutions:  We specialize in developing cutting-edge software tailored to meet the unique needs of various industries. Our best Hospital Management Software, Diagnostic Management Software, Sales Management Software, Accounting Management Software, ERP Software, etc will make your business smart.  Web Development Excellence: Our skilled team crafts visually appealing and user-friendly websites that effectively communicate your brand message and drive engagement.  Effective Digital Marketing Strategies: We help businesses thrive in the digital landscape through strategic marketing campaigns that deliver tangible results.  With a passion for innovation and a commitment to client satisfaction, we deliver the best web development services in bangladesh that drive growth and efficiency. Our dedicated team works closely with you to understand your goals and deliver tailored solutions that exceed your expectations.  Partner with us and experience the power of technology-driven success. We're always ready to support you.","4th floor,55, Atish Diponkar Road, Mugda Rd, Mugda",Khilgaon,1214,01927614040,akram.bauet@gmail.com,https://businesssolution.com.bd/software-solution,Proprietorship,,"Hospital Management Software, Website Development, Digital Marketing, Website Development, Prescription Software, Accounting Management Software, ERP"
ESOP Bangladesh Ltd.,15-01-620,General,January 2013,https://basis.org.bd/images/logo/9fbc72fab7c4aae258120750a3592a1108032024031838.jpg,"Our company has been providing exceptional software services to clients for over 12 years, and we have a proven track record of delivering high-quality solutions that meet our client's unique requirements. At ESOP BANGLADESH LTD., we understand that every business has different needs and challenges, and we are committed to providing customized software solutions that help our clients achieve their goals. Our team of skilled developers, designers, and project managers works closely with our clients to understand their business requirements, analyze their processes, and develop a comprehensive solution that addresses their unique needs.   We take pride in our ability to deliver innovative solutions that leverage the latest technologies and industry best practices. This expertise enables us to provide our clients with a wide range of software services, including web development, mobile app development, cloud computing, and digital marketing.   ESOP BANGLADESH LTD.  is the best choice for businesses looking for innovative and customized software solutions. Our team of skilled professionals, commitment to quality, and exceptional customer service make us the ideal partner for businesses looking to transform their ideas into reality.","Kha-225, Century Centre (6th Floor )Progoti Sarani, Merul Badda, Gulshan-1  Dhaka-1212.",Banani,1213,01711306212,esopbd@gmail.com,www.esop.com.bd,Limited Company,2018-12-31,"eCommerce Development, Apps Developement, Web Development, Digital Marketing"
AD 65 BD. Ltd.,15-02-350,General,January 2014,https://basis.org.bd/images/logo/6006e24c94b4cad65_digital_marketing.png,"AD65 promotes your brand in such a way that audience connects with your identity, values and tonality instantly. We are the penultimate bridge between your brand and your consumers. The ever evolving marketing communications find the right balance of presenting online and offline at our place.","Rupayan Center (6th floor), 72 Mohakhali, Dhaka-1212",Gulshan,1212,+02 2222 80488,bizdev@ad65.com,https://www.ad65.com/,Limited Company,2020-12-31,Digital Marketing
Analyzen Bangladesh Limited,16-06-782,General,April 2015,https://basis.org.bd/images/logo/201603131057361586378285_Analyzen_Logo_400x400.png,"Analyzen evolved from a ITES and local digital-first marketing company to offering an integrated mix of strategy, analytics, creativity, technology, media and experience to drive meaningful innovation in communication through multi-country presence. With one of the largest client portfolios, Analyzen is a true integrated marketing company empowered by world class technology team able to offer any solution for any brand across different media.","Level-1, House- 1A, Road- 16A, Gulshan-1, Dhaka-1212.",Gulshan,1212,+88028836880,risalat@analyzenbd.com,www.analyzenbd.com,Limited Company,2020-12-31,Digital Marketing
WebAble Bangladesh Limited,16-06-790,General,October 2014,https://basis.org.bd/images/logo/5ea05e40d593eWebAble Logo Color.png,"WebAble is a technology and communications firm that creates game-changing products, projects, and campaigns for brands, foundations, and consumers.  Founded in 2014, WebAble has partnered with organizations like Mercedes-Benz, BRAC, Bata, Charity Right, Alibaba Group, C&A Foundation, GSK, BGMEA, MetLife, Global Alliance for Improved Nutrition, and Dell across the UK, Switzerland, Canada, China, Singapore, Australia, and Bangladesh markets.","House 10/A, Road 4, Gulshan 1, Dhaka",Gulshan,1212,01731057667,anis@webable.digital,www.webable.digital,Limited Company,2020-12-31,Digital Marketing
